id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
1,No candidate mentioned,1,yes,1,Neutral,0.6578,None of the above,1,,I_Am_Kenzi,,5,,,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,,07-08-2015 09:54,6.29697E+17,,Quito
2,Scott Walker,1,yes,1,Positive,0.6333,None of the above,1,,PeacefulQuest,,26,,,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF…,,07-08-2015 09:54,6.29697E+17,,
3,No candidate mentioned,1,yes,1,Neutral,0.6629,None of the above,0.6629,,PussssyCroook,,27,,,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,,07-08-2015 09:54,6.29697E+17,,
4,No candidate mentioned,1,yes,1,Positive,1,None of the above,0.7039,,MattFromTexas31,,138,,,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on …,,07-08-2015 09:54,6.29697E+17,Texas,Central Time (US & Canada)
5,Donald Trump,1,yes,1,Positive,0.7045,None of the above,1,,sharonDay5,,156,,,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co…,,07-08-2015 09:54,6.29697E+17,,Arizona
6,Ted Cruz,0.6332,yes,1,Positive,0.6332,None of the above,1,,DRJohnson11,,228,,,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",,07-08-2015 09:54,6.29697E+17,,Central Time (US & Canada)
7,No candidate mentioned,1,yes,1,Negative,0.6761,FOX News or Moderators,1,,DebWilliams57,,17,,,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://…,,07-08-2015 09:54,6.29697E+17,North Georgia,Eastern Time (US & Canada)
8,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,RaulAReyes,,0,,,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,,07-08-2015 09:54,6.29697E+17,New York NY,Eastern Time (US & Canada)
9,Ben Carson,1,yes,1,Negative,0.6889,None of the above,0.6444,,kengpdx,,0,,,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",,07-08-2015 09:54,6.29697E+17,,Pacific Time (US & Canada)
10,No candidate mentioned,0.4594,yes,0.6778,Negative,0.6778,None of the above,0.4594,,Kathielarsyn,,1,,,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,,07-08-2015 09:54,6.29697E+17,,
11,Donald Trump,1,yes,1,Negative,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,07-08-2015 09:54,6.29697E+17,"Peoria, IL",Central Time (US & Canada)
12,Mike Huckabee,1,yes,1,Positive,1,Foreign Policy,0.652,,KLWorster,,188,,,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",,07-08-2015 09:54,6.29697E+17,"Fargo, ND",Central Time (US & Canada)
13,No candidate mentioned,1,yes,1,Negative,0.6957,None of the above,1,,wiggerblonde,,0,,,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,,07-08-2015 09:54,6.29697E+17,,
14,Jeb Bush,0.6947,yes,1,Neutral,0.6421,Foreign Policy,1,,NCBibleThumper,,5,,,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""",,07-08-2015 09:54,6.29697E+17,"Montgomery, AL ",Central Time (US & Canada)
15,Scott Walker,1,yes,1,Positive,1,None of the above,1,,In_Related_News,,215,,,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,,07-08-2015 09:54,6.29697E+17,"San Diego, California",Pacific Time (US & Canada)
